,target_R,status,weights,exp_return_daily,vol_daily,exp_return_ann,vol_ann
33,0.0008667420181003235,optimal,"[8.49658220e-17 6.59332598e-01 3.21907021e-01 2.58297687e-17
 1.87603808e-02]",0.0008667420181003236,0.0067292330495953775,0.21841898856128156,0.10682326298055686
34,0.0008875345171036358,optimal,"[1.05263929e-24 6.79938848e-01 3.20061152e-01 9.02082484e-25
 8.54881958e-25]",0.0008875345171036358,0.006926872946774575,0.22365869831011623,0.10996069908304006
35,0.000908327016106948,optimal,"[9.36812502e-25 7.02800358e-01 2.97199642e-01 7.03529615e-25
 6.13114490e-25]",0.000908327016106948,0.007126181546977023,0.2288984080589509,0.11312462502479252
36,0.0009291195151102603,optimal,"[ 8.78875197e-06  7.30899154e-01  2.25503132e-01 -1.69306033e-06
  4.35906136e-02]",0.0009291195706485152,0.007339056102542471,0.23413813180342583,0.11650390383166997
37,0.0009499120141135725,optimal,"[7.55614984e-25 7.48523380e-01 2.51476620e-01 2.66813326e-25
 1.17967001e-25]",0.0009499120141135725,0.007531434430362156,0.23937782755662027,0.11955781510996603
38,0.0009707045131168848,optimal,"[ 6.63062477e-25  7.71384891e-01  2.28615109e-01  5.13537310e-26
 -1.29854436e-25]",0.0009707045131168847,0.007737031155262,0.24461753730545494,0.12282156193669214
39,0.000991497012120197,optimal,"[ 5.90436080e-25  7.94246402e-01  2.05753598e-01 -1.21544379e-25
 -3.80290801e-25]",0.000991497012120197,0.007944403580453509,0.24985724705428966,0.1261134971316666
40,0.0010122895111235094,optimal,"[ 4.46328278e-25  8.17107912e-01  1.82892088e-01 -3.19101742e-25
 -6.18629973e-25]",0.0010122895111235092,0.00815341621859988,0.25509695680312433,0.12943146990009557
41,0.0010330820101268215,optimal,"[ 3.52434576e-25  8.39969423e-01  1.60030577e-01 -6.10292753e-25
 -8.60553640e-25]",0.0010330820101268215,0.008363946105237044,0.26033666655195903,0.13277352824162691
42,0.0010538745091301339,optimal,"[ 2.34312477e-25  8.62830934e-01  1.37169066e-01 -7.47672115e-25
 -1.11872953e-24]",0.0010538745091301339,0.008575881499989934,0.2655763763007937,0.1361378983327976
43,0.0010746670081334462,optimal,"[ 1.79779124e-25  8.85692445e-01  1.14307555e-01 -9.40370562e-25
 -1.35241665e-24]",0.0010746670081334462,0.008789120728799137,0.2708160860496285,0.13952296614795173
44,0.0010954595071367584,optimal,"[ 5.25602269e-26  9.08553956e-01  9.14460444e-02 -1.16739846e-24
 -1.60931438e-24]",0.0010954595071367584,0.009003571152710516,0.2760557957984631,0.14292726108928305
45,0.0011162520061400705,optimal,"[-8.59253935e-06  9.35124942e-01  3.40602340e-02 -1.00952650e-05
  3.08335283e-02]",0.0011162519933772472,0.009242760673391632,0.28129550233106626,0.1467242770168929
46,0.0011370445051433829,optimal,"[-8.30703721e-06  9.56595396e-01  2.41600245e-02 -9.86669231e-06
  1.92627653e-02]",0.0011370444983967937,0.009451017179333618,0.286535213595992,0.15003024655869535
47,0.0011578370041466952,optimal,"[-2.49011674e-25  9.77138488e-01  2.28615119e-02 -1.83522628e-24
 -2.34667638e-24]",0.001157837004146695,0.009653380146318077,0.29177492504496716,0.15324265906995566
48,0.0011786295031500074,optimal,"[ 2.27390082e-09  1.00000000e+00  5.16504988e-10  7.89574357e-11
 -8.31071589e-10]",0.0011786295051885618,0.009871899597277066,0.2970146353075176,0.15671154781316282
