,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,10000.308692700448,10018.30336349364,9983.419283458514,9983.771395554839,9985.661867257533,9989.684512688964,9995.732588728855,10001.780664770427,10007.828740812834,10013.876816853659,10019.92489289644,10025.972968936047,10032.021044977993,10038.069121020118,10044.117197060386,10050.165273103261,10056.213349144455,10062.261425183973,10068.309501227597,10074.357577269724,10080.405653310738,10086.453729350254,10092.501805393878,10098.549881435074,10104.597957474592,10110.646033516718,10116.694109558664,10122.742185600788,10128.790261639555,10134.838337682819,10140.886413726625,10146.934489763891,10152.982565805658,10159.03064185114,10165.184005276116,10174.09610756347,10189.421191040317,10191.920312138176,10200.832414425531,10209.744516712883,10218.65661900024,10227.568721287593,10236.480823574948,10245.392925862303,10254.30502814966,10267.742942416202,10274.953745265499,10281.041335011714,10289.953456506499,10458.988030894252,10204.41003463331
11,10001.425320920604,10017.619662286914,9986.609754919944,9986.779033940273,9988.245548435523,9991.712864129615,9997.080815334151,10002.44876654019,10007.816717746973,10013.184668952345,10018.552620159462,10023.920571363742,10029.288522570114,10034.656473776646,10040.024424981519,10045.39237618872,10050.76032739442,10056.128278598624,10061.496229806495,10066.864181013028,10072.232132218567,10077.600083422769,10082.96803463064,10088.33598583634,10093.703937040544,10099.071888247077,10104.43983945345,10109.80779065998,10115.17574186351,10120.54369307106,10125.911644279093,10131.279595481285,10136.647546687496,10142.015497897028,10147.477531822511,10155.404720128556,10169.062552991083,10171.259096740647,10179.186285046693,10187.113473352738,10195.040661658784,10202.967849964829,10210.895038270877,10218.822226576922,10226.74941488297,10238.720682352541,10245.127623212747,10250.5309798011,10258.458187201726,10425.836377339967,10185.942443495878
12,10001.44900462366,10023.023425181173,9990.793718752531,9993.238185628848,9997.093538739937,10003.047296938727,10010.994407687334,10018.94151843759,10026.888629188668,10034.835739938191,10042.782850689637,10050.729961437963,10058.677072188588,10066.624182939388,10074.571293688363,10082.5184044399,10090.465515189784,10098.412625938026,10106.3597366903,10114.306847441101,10122.253958190808,10130.201068939046,10138.148179691321,10146.095290441208,10154.042401189448,10161.98951194025,10169.936622690875,10177.883733441671,10185.830844189175,10193.777954941093,10201.725065693545,10209.672176439575,10217.619287190022,10225.56639794412,10233.616936947568,10244.377501904055,10261.437841320472,10265.898631817032,10276.659196773518,10287.419761730007,10298.180326686495,10308.940891642982,10319.701456599472,10330.46202155596,10341.222586512451,10356.429173055581,10365.518476803409,10373.504281381907,10384.264865693145,10492.89837866485,10231.379017846257
13,10001.466623587825,10025.103698377665,9998.209088861226,10001.278687273487,10005.692866615038,10012.32130974685,10021.053165654488,10029.785021563614,10038.516877473476,10047.248733381939,10055.980589292134,10064.712445199515,10073.444301108972,10082.176157018586,10090.908012926553,10099.639868836832,10108.37172474562,10117.103580652929,10125.83543656387,10134.567292473484,10143.299148382113,10152.031004289418,10160.762860200359,10169.494716109151,10178.226572016456,10186.95842792607,10195.690283835527,10204.42213974514,10213.153995651777,10221.885851562402,10230.617707473502,10239.349563378817,10248.081419288112,10256.813275200697,10265.63835353404,10276.906044801826,10293.852266277452,10299.441427337402,10310.709118605191,10321.97680987298,10333.244501140769,10344.512192408554,10355.779883676345,10367.047574944132,10378.315266211925,10393.589453821958,10403.350816593193,10412.11834001528,10423.386050740539,10527.54186898579,10251.551251252065
14,10000.395689531897,10025.659685730789,9998.737596523728,10002.006812296722,10006.871595786499,10014.01555635866,10023.324593422782,10032.633630488415,10041.942667554802,10051.25170461976,10060.560741686484,10069.869778750346,10079.178815816318,10088.487852882448,10097.796889946907,10107.105927013714,10116.414964079006,10125.724001142793,10135.033038210273,10144.342075276407,10153.651112341537,10162.96014940532,10172.2691864728,10181.578223538096,10190.88726060188,10200.196297668012,10209.505334733984,10218.814371800112,10228.12340886322,10237.432445930375,10246.741482998023,10256.050520059782,10265.359557125588,10274.668594194743,10284.072420684075,10295.959918611017,10313.621384907401,10319.734914464905,10331.62241239185,10343.509910318793,10355.397408245739,10367.284906172681,10379.172404099629,10391.05990202657,10402.94739995352,10418.908373500366,10429.264232075417,10438.609893734343,10450.497411193053,10548.378980247531,10268.861447658637
15,10000.419916532703,10013.080575355298,10002.159180811874,10001.165650136752,10001.520800559327,10003.500635962337,10007.02382405522,10010.547012148749,10014.0702002426,10017.593388335841,10021.116576429837,10024.639764522606,10028.162952616281,10031.686140710022,10035.20932880305,10038.732516897082,10042.255704990464,10045.778893083205,10049.302081177524,10052.825269271267,10056.34845736458,10059.871645457317,10063.394833551636,10066.91802164502,10070.44120973776,10073.964397831503,10077.487585925179,10081.01077401892,10084.533962111365,10088.057150205546,10091.580338299937,10095.103526391811,10098.626714485414,10102.149902580448,10105.713623924086,10110.339397041376,10117.434836834733,10119.590943275958,10124.21671639325,10128.842489510542,10133.468262627834,10138.094035745122,10142.719808862419,10147.345581979707,10151.971355097003,10158.336745441662,10162.307610023014,10165.84867444887,10170.474466334364,10329.519156214268,10157.607828222195
16,10000.990072494671,10011.824978349887,9999.680438852007,9999.983580116956,10001.289577789212,10003.744931150068,10007.292101627783,10010.839272106165,10014.386442584871,10017.933613062956,10021.480783541814,10025.027954019413,10028.575124497942,10032.122294976538,10035.6694654544,10039.216635933297,10042.763806411524,10046.310976889095,10049.858147368283,10053.405317846882,10056.952488325038,10060.499658802606,10064.046829281797,10067.593999760025,10071.141170237595,10074.688340716193,10078.235511194722,10081.782681673318,10085.329852150586,10088.877022629633,10092.424193108896,10095.971363585577,10099.51853406403,10103.065704543953,10106.65446009611,10111.332827294096,10118.544383410292,10120.68956169007,10125.367928888054,10130.046296086042,10134.72466328403,10139.403030482013,10144.081397680005,10148.759764877992,10153.43813207598,10159.90292821725,10163.909347753144,10167.473233669934,10172.151619460044,10254.524416113469,10125.568263590963
17,10001.016456954185,10011.596061266457,10002.605115933977,10003.791663876746,10005.41119618712,10008.133288334267,10011.90274498628,10015.672201638848,10019.44165829169,10023.21111494401,10026.980571596978,10030.75002824889,10034.519484901582,10038.28894155433,10042.058398206467,10045.827854859464,10049.597311511905,10053.366768163796,10057.136224817039,10060.90568146979,10064.67513812217,10068.444594774057,10072.214051427303,10075.983508079744,10079.752964731633,10083.522421384385,10087.291878037075,10091.061334689823,10094.830791341461,10098.600247994587,10102.369704647892,10106.13916129904,10109.908617951667,10113.678074605525,10117.482319053064,10122.198072921916,10129.033214794938,10131.62958065962,10136.345334528472,10141.061088397326,10145.776842266177,10150.492596135027,10155.208350003886,10159.924103872736,10164.639857741591,10170.850282338124,10175.003912962251,10178.787119348142,10183.502891800867,10251.762226802512,10114.362881581157
18,10001.585593997652,10019.795391553454,10015.506594873215,10017.119708338241,10020.292486632654,10025.006419785608,10031.18435791866,10037.362296052204,10043.540234185986,10049.718172319312,10055.896110453203,10062.074048586168,10068.25198671982,10074.42992485352,10080.607862986682,10086.785801120604,10092.963739254033,10099.141677386979,10105.319615521117,10111.497553654819,10117.675491788197,10123.853429921139,10130.031368055279,10136.20930618871,10142.387244321653,10148.565182455357,10154.743120589006,10160.921058722708,10167.09899685543,10173.276934989464,10179.454873123657,10185.632811255944,10191.810749389542,10197.98868752422,10204.197259035685,10211.208485978641,10220.086457515876,10225.230939864558,10232.242166807513,10239.253393750472,10246.26462069343,10253.275847636382,10260.287074579348,10267.298301522302,10274.309528465265,10282.634102722535,10289.150405313498,10295.34320929413,10302.354455196917,10370.939744336036,10205.87671231179
19,10000.522616359509,10025.45745384555,10028.135913149606,10029.624216261163,10034.429455169266,10040.917906377857,10049.005310326844,10057.092714276123,10065.180118225544,10073.267522174694,10081.35492612418,10089.442330073114,10097.529734022457,10105.617137971829,10113.70454192088,10121.791945870384,10129.879349819596,10137.966753768518,10146.05415771815,10154.141561667526,10162.228965616703,10170.316369565626,10178.403773515258,10186.49117746447,10194.578581413392,10202.665985362768,10210.753389312109,10218.840793261481,10226.92819721027,10235.015601159841,10243.103005109508,10251.19040905804,10259.277813007348,10267.365216957302,10275.47087678051,10284.05487681161,10293.751782143569,10301.222876873811,10309.80687690491,10318.390876936013,10326.974876967113,10335.558876998208,10344.142877029317,10352.726877060413,10361.310877091519,10370.672745908856,10378.961905236529,10387.062877184813,10395.64689639869,10431.337591679388,10292.560915264416
